"","Accession","Release_Date","Geo_Location","Isolation_Source","Collection_Date"
"1","MW173245",2020-10-27,"India",NA,"2020-07-18"
"2","MW173250",2020-10-27,"India",NA,"2020-07-18"
"3","MW173252",2020-10-27,"India",NA,"2020-07-18"
"4","MW173253",2020-10-27,"India",NA,"2020-07-18"
"5","MW173254",2020-10-27,"India",NA,"2020-07-18"
"6","MW173298",2020-10-27,"India",NA,"2020-07-18"
"7","MW173401",2020-10-27,"USA",NA,"2020-09-11"
"8","MW173402",2020-10-27,"USA",NA,"2020-09-16"
"9","MW173404",2020-10-27,"USA",NA,"2020-09-17"
"10","MW173406",2020-10-27,"USA",NA,"2020-09-18"
"11","MW173407",2020-10-27,"USA",NA,"2020-09-19"
"12","MW173408",2020-10-27,"USA",NA,"2020-09-19"
"13","MW173409",2020-10-27,"USA",NA,"2020-09-20"
"14","MW173410",2020-10-27,"USA",NA,"2020-09-20"
"15","MW173412",2020-10-27,"USA",NA,"2020-09-21"
"16","MW173414",2020-10-27,"USA",NA,"2020-09-22"
"17","MW173417",2020-10-27,"USA",NA,"2020-09-22"
"18","MW173419",2020-10-27,"USA",NA,"2020-09-24"
"19","MW173423",2020-10-27,"USA",NA,"2020-09-24"
"20","MW173426",2020-10-27,"USA",NA,"2020-10-01"
"21","MW173427",2020-10-27,"USA",NA,"2020-10-01"
"22","MW173433",2020-10-27,"USA",NA,"2020-10-04"
"23","MW173436",2020-10-27,"USA",NA,"2020-09-27"
"24","MW173440",2020-10-27,"USA",NA,"2020-09-29"
"25","MW173441",2020-10-27,"USA",NA,"2020-09-29"
"26","MW173442",2020-10-27,"USA",NA,"2020-10-01"
"27","MW173443",2020-10-27,"USA",NA,"2020-10-01"
"28","MW173444",2020-10-27,"USA",NA,"2020-10-01"
"29","MW173446",2020-10-27,"USA",NA,"2020-10-02"
"30","MW173448",2020-10-27,"USA",NA,"2020-10-02"
"31","MW173452",2020-10-27,"USA",NA,"2020-10-04"
"32","MW173453",2020-10-27,"USA",NA,"2020-10-04"
"33","MW173454",2020-10-27,"USA",NA,"2020-10-05"
"34","MW173459",2020-10-27,"USA",NA,"2020-10-05"
"35","MW173460",2020-10-27,"India",NA,"2020-06-25"
"36","MW173463",2020-10-27,"India",NA,"2020-06-25"
"37","MW180935",2020-10-27,"USA",NA,"2020-04-07"
"38","MW180936",2020-10-27,"USA",NA,"2020-04-07"
"39","MW165854",2020-10-26,"India",NA,"2020-06-25"
"40","MW165857",2020-10-26,"India",NA,"2020-06-25"
"41","MW165861",2020-10-26,"India",NA,"2020-06-25"
"42","MW165862",2020-10-26,"India",NA,"2020-06-25"
"43","MW165865",2020-10-26,"India",NA,"2020-06-25"
"44","MW165869",2020-10-26,"India",NA,"2020-06-25"
"45","MW165872",2020-10-26,"India",NA,"2020-06-25"
"46","MW165873",2020-10-26,"India",NA,"2020-06-25"
"47","MW165876",2020-10-26,"India",NA,"2020-06-25"
"48","MW165885",2020-10-26,"India",NA,"2020-06-25"
"49","MW166053",2020-10-26,"USA",NA,"2020-05-21"
"50","MW166054",2020-10-26,"USA",NA,"2020-05-21"
"51","MW166055",2020-10-26,"USA",NA,"2020-05-20"
"52","MW166056",2020-10-26,"USA",NA,"2020-05-21"
"53","MW166064",2020-10-26,"USA",NA,"2020-07-05"
"54","MW166065",2020-10-26,"USA",NA,"2020-07-05"
"55","MW166066",2020-10-26,"USA",NA,"2020-07-05"
"56","MW166067",2020-10-26,"USA",NA,"2020-07-05"
"57","MW166069",2020-10-26,"USA",NA,"2020-07-05"
"58","MW166070",2020-10-26,"USA",NA,"2020-07-05"
"59","MW166071",2020-10-26,"USA",NA,"2020-07-05"
"60","MW166072",2020-10-26,"USA",NA,"2020-07-05"
"61","MW166073",2020-10-26,"USA",NA,"2020-07-28"
"62","MW166075",2020-10-26,"USA",NA,"2020-07-28"
"63","MW166077",2020-10-26,"USA",NA,"2020-09-04"
"64","MW166078",2020-10-26,"USA",NA,"2020-09-04"
"65","MW166079",2020-10-26,"USA",NA,"2020-09-04"
"66","MW166080",2020-10-26,"USA",NA,"2020-09-04"
"67","MW166081",2020-10-26,"USA",NA,"2020-09-04"
"68","MW166082",2020-10-26,"USA",NA,"2020-09-04"
"69","MW166083",2020-10-26,"USA",NA,"2020-09-04"
"70","MW166084",2020-10-26,"USA",NA,"2020-09-04"
"71","MW166086",2020-10-26,"USA",NA,"2020-09-04"
"72","MW166087",2020-10-26,"USA",NA,"2020-09-04"
"73","MW166088",2020-10-26,"USA",NA,"2020-09-11"
"74","MW166092",2020-10-26,"USA",NA,"2020-09-11"
"75","MW166095",2020-10-26,"USA",NA,"2020-06-03"
"76","MW166096",2020-10-26,"USA",NA,"2020-06-04"
"77","MW166097",2020-10-26,"USA",NA,"2020-06-04"
"78","MW166098",2020-10-26,"USA",NA,"2020-06-04"
"79","MW166108",2020-10-26,"USA",NA,"2020-07-02"
"80","MW166110",2020-10-26,"USA",NA,"2020-07-02"
"81","MW166113",2020-10-26,"USA",NA,"2020-07-03"
"82","MW166116",2020-10-26,"USA",NA,"2020-07-03"
"83","MW166117",2020-10-26,"USA",NA,"2020-07-03"
"84","MW166118",2020-10-26,"USA",NA,"2020-07-03"
"85","MW166119",2020-10-26,"USA",NA,"2020-07-03"
"86","MW166120",2020-10-26,"USA",NA,"2020-07-04"
"87","MW166122",2020-10-26,"USA",NA,"2020-07-05"
"88","MW166123",2020-10-26,"USA",NA,"2020-07-05"
"89","MW166125",2020-10-26,"USA",NA,"2020-07-05"
"90","MW166126",2020-10-26,"USA",NA,"2020-07-05"
"91","MW166127",2020-10-26,"USA",NA,"2020-07-05"
"92","MW166129",2020-10-26,"USA",NA,"2020-07-02"
"93","MW166130",2020-10-26,"USA",NA,"2020-07-02"
"94","MW166131",2020-10-26,"USA",NA,"2020-07-02"
"95","MW166133",2020-10-26,"USA",NA,"2020-07-06"
"96","MW166136",2020-10-26,"USA",NA,"2020-07-06"
"97","MW166138",2020-10-26,"USA",NA,"2020-07-06"
"98","MW166139",2020-10-26,"USA",NA,"2020-07-07"
"99","MW166141",2020-10-26,"USA",NA,"2020-07-08"
"100","MW166142",2020-10-26,"USA",NA,"2020-08-05"
"101","MW166144",2020-10-26,"USA",NA,"2020-08-11"
"102","MW166145",2020-10-26,"USA",NA,"2020-08-11"
"103","MW166149",2020-10-26,"USA",NA,"2020-08-12"
"104","MW166150",2020-10-26,"USA",NA,"2020-08-12"
"105","MW166151",2020-10-26,"USA",NA,"2020-08-13"
"106","MW166152",2020-10-26,"USA",NA,"2020-08-13"
"107","MW166154",2020-10-26,"USA",NA,"2020-08-17"
"108","MW166165",2020-10-26,"USA",NA,"2020-08-20"
"109","MW166167",2020-10-26,"USA",NA,"2020-08-22"
"110","MW166214",2020-10-26,"India",NA,"2020-06-25"
"111","MW166221",2020-10-26,"India",NA,"2020-06-25"
"112","MW166349",2020-10-26,"India",NA,"2020-06-25"
"113","MW166864",2020-10-26,"India",NA,"2020-06-25"
"114","MW167078",2020-10-26,"India",NA,"2020-06-25"
"115","MW167112",2020-10-26,"India",NA,"2020-06-25"
"116","MW172414",2020-10-26,"USA",NA,"2020-03-03"
"117","MW172415",2020-10-26,"USA",NA,"2020-02-26"
"118","MW172507",2020-10-26,"USA",NA,"2020-03-03"
"119","MW172508",2020-10-26,"USA",NA,"2020-03-03"
"120","MW172509",2020-10-26,"USA",NA,"2020-03-03"
"121","MW172510",2020-10-26,"USA",NA,"2020-03-03"
"122","MW172513",2020-10-26,"USA",NA,"2020-03-19"
"123","MW172514",2020-10-26,"USA",NA,"2020-03-27"
"124","MW172515",2020-10-26,"USA",NA,"2020-03-20"
"125","MW172517",2020-10-26,"USA",NA,"2020-05-22"
"126","MW172518",2020-10-26,"USA",NA,"2020-04-25"
"127","MW172520",2020-10-26,"USA",NA,"2020-06-27"
"128","MW172558",2020-10-26,"USA",NA,"2020-05-15"
"129","MW172563",2020-10-26,"USA",NA,"2020-05-14"
"130","MW172570",2020-10-26,"USA",NA,"2020-05-15"
"131","MW172571",2020-10-26,"USA",NA,"2020-05-15"
"132","MW172572",2020-10-26,"USA",NA,"2020-05-15"
"133","MW172574",2020-10-26,"USA",NA,"2020-05-15"
"134","MW172576",2020-10-26,"USA",NA,"2020-05-15"
"135","MW172579",2020-10-26,"USA",NA,"2020-05-16"
"136","MW172581",2020-10-26,"USA",NA,"2020-05-18"
"137","MW172721",2020-10-26,"USA",NA,"2020-04-24"
"138","MW172727",2020-10-26,"USA",NA,"2020-04-03"
"139","MW172730",2020-10-26,"USA",NA,"2020-04-23"
"140","MW172733",2020-10-26,"USA",NA,"2020-04-03"
"141","MW172737",2020-10-26,"USA",NA,"2020-04-07"
"142","MW172742",2020-10-26,"USA",NA,"2020-04-12"
"143","MW172756",2020-10-26,"USA",NA,"2020-06-22"
"144","MW172762",2020-10-26,"USA",NA,"2020-06-22"
"145","MW172766",2020-10-26,"USA",NA,"2020-06-22"
"146","MW172768",2020-10-26,"USA",NA,"2020-06-22"
"147","MW172771",2020-10-26,"USA",NA,"2020-06-22"
"148","MW172813",2020-10-26,"USA",NA,"2020-06-22"
"149","MW173146",2020-10-26,"USA",NA,"2020-06-22"
"150","MW173147",2020-10-26,"USA","oronasopharynx","2020-06-23"
"151","MW173148",2020-10-26,"USA",NA,"2020-06-24"
"152","MW173149",2020-10-26,"USA",NA,"2020-06-25"
"153","MW173150",2020-10-26,"USA",NA,"2020-06-26"
"154","MW173151",2020-10-26,"USA",NA,"2020-06-25"
"155","MW173152",2020-10-26,"USA","oronasopharynx","2020-06-25"
"156","MW173153",2020-10-26,"USA","oronasopharynx","2020-06-26"
"157","MW173154",2020-10-26,"USA",NA,"2020-06-27"
"158","MW173155",2020-10-26,"USA",NA,"2020-06-26"
"159","MW173156",2020-10-26,"USA",NA,"2020-06-26"
"160","MW173157",2020-10-26,"USA",NA,"2020-06-27"
"161","MW173158",2020-10-26,"USA",NA,"2020-06-27"
"162","MW173159",2020-10-26,"USA",NA,"2020-06-29"
"163","MW173160",2020-10-26,"USA",NA,"2020-06-29"
"164","MW173161",2020-10-26,"USA","oronasopharynx","2020-06-29"
"165","MW173162",2020-10-26,"USA",NA,"2020-06-29"
"166","MW173163",2020-10-26,"USA",NA,"2020-06-29"
"167","MW173164",2020-10-26,"USA","oronasopharynx","2020-06-22"
"168","MW173165",2020-10-26,"USA",NA,"2020-06-30"
"169","MW173166",2020-10-26,"USA",NA,"2020-06-30"
"170","MW173167",2020-10-26,"USA",NA,"2020-07-01"
"171","MW173168",2020-10-26,"USA",NA,"2020-07-02"
"172","MW173169",2020-10-26,"USA",NA,"2020-07-02"
"173","MW173170",2020-10-26,"USA",NA,"2020-07-02"
"174","MW173171",2020-10-26,"USA",NA,"2020-07-02"
"175","MW173212",2020-10-26,"USA",NA,"2020-04-07"
"176","MW173213",2020-10-26,"USA",NA,"2020-04-07"
"177","MW161259",2020-10-23,"USA","oronasopharynx","2020-01-19"
"178","MW153038",2020-10-22,"Australia",NA,"2020-03-22"
"179","MW153039",2020-10-22,"Australia",NA,"2020-03-27"
"180","MW153041",2020-10-22,"Australia",NA,"2020-03-27"
"181","MW153043",2020-10-22,"Australia",NA,"2020-04-02"
"182","MW153047",2020-10-22,"Australia",NA,"2020-04-06"
"183","MW153049",2020-10-22,"Australia",NA,"2020-04-09"
"184","MW153051",2020-10-22,"Australia",NA,"2020-04-10"
"185","MW153052",2020-10-22,"Australia",NA,"2020-04-13"
"186","MW153058",2020-10-22,"Australia",NA,"2020-04-16"
"187","MW153059",2020-10-22,"Australia",NA,"2020-04-15"
"188","MW153063",2020-10-22,"Australia",NA,"2020-04-17"
"189","MW153072",2020-10-22,"Australia",NA,"2020-03-27"
"190","MW153074",2020-10-22,"Australia",NA,"2020-06-11"
"191","MW153075",2020-10-22,"Australia",NA,"2020-06-11"
"192","MW153077",2020-10-22,"Australia",NA,"2020-06-22"
"193","MW153078",2020-10-22,"Australia",NA,"2020-06-24"
"194","MW153079",2020-10-22,"Australia",NA,"2020-06-24"
"195","MW153080",2020-10-22,"Australia",NA,"2020-06-24"
"196","MW153081",2020-10-22,"Australia",NA,"2020-08-03"
"197","MW153082",2020-10-22,"Australia",NA,"2020-07-31"
"198","MW153083",2020-10-22,"Australia",NA,"2020-08-01"
"199","MW153084",2020-10-22,"Australia",NA,"2020-08-01"
"200","MW153085",2020-10-22,"Australia",NA,"2020-07-31"
"201","MW153086",2020-10-22,"Australia",NA,"2020-07-30"
"202","MW153087",2020-10-22,"Australia",NA,"2020-07-30"
"203","MW153088",2020-10-22,"Australia",NA,"2020-07-28"
"204","MW153089",2020-10-22,"Australia",NA,"2020-07-27"
"205","MW153090",2020-10-22,"Australia",NA,"2020-07-27"
"206","MW153091",2020-10-22,"Australia",NA,"2020-07-30"
"207","MW153094",2020-10-22,"Australia",NA,"2020-07-30"
"208","MW153095",2020-10-22,"Australia",NA,"2020-07-29"
"209","MW153096",2020-10-22,"Australia",NA,"2020-07-30"
"210","MW153097",2020-10-22,"Australia",NA,"2020-07-28"
"211","MW153098",2020-10-22,"Australia",NA,"2020-07-29"
"212","MW153099",2020-10-22,"Australia",NA,"2020-07-27"
"213","MW153100",2020-10-22,"Australia",NA,"2020-07-27"
"214","MW153101",2020-10-22,"Australia",NA,"2020-07-27"
"215","MW153102",2020-10-22,"Australia",NA,"2020-07-27"
"216","MW153103",2020-10-22,"Australia",NA,"2020-07-28"
"217","MW153104",2020-10-22,"Australia",NA,"2020-07-27"
"218","MW153105",2020-10-22,"Australia",NA,"2020-07-30"
"219","MW153106",2020-10-22,"Australia",NA,"2020-07-29"
"220","MW153107",2020-10-22,"Australia",NA,"2020-07-29"
"221","MW153108",2020-10-22,"Australia",NA,"2020-07-28"
"222","MW153109",2020-10-22,"Australia",NA,"2020-07-29"
"223","MW153110",2020-10-22,"Australia",NA,"2020-07-29"
"224","MW153111",2020-10-22,"Australia",NA,"2020-07-27"
"225","MW153112",2020-10-22,"Australia",NA,"2020-07-27"
"226","MW153113",2020-10-22,"Australia",NA,"2020-07-28"
"227","MW153114",2020-10-22,"Australia",NA,"2020-07-29"
"228","MW153115",2020-10-22,"Australia",NA,"2020-07-30"
"229","MW153116",2020-10-22,"Australia",NA,"2020-07-27"
"230","MW153117",2020-10-22,"Australia",NA,"2020-07-29"
"231","MW153118",2020-10-22,"Australia",NA,"2020-07-29"
"232","MW153119",2020-10-22,"Australia",NA,"2020-07-29"
"233","MW153120",2020-10-22,"Australia",NA,"2020-07-29"
"234","MW153121",2020-10-22,"Australia",NA,"2020-07-29"
"235","MW153122",2020-10-22,"Australia",NA,"2020-07-29"
"236","MW153123",2020-10-22,"Australia",NA,"2020-07-29"
"237","MW153126",2020-10-22,"Australia",NA,"2020-07-28"
"238","MW153127",2020-10-22,"Australia",NA,"2020-07-28"
"239","MW153128",2020-10-22,"Australia",NA,"2020-07-28"
"240","MW153129",2020-10-22,"Australia",NA,"2020-07-28"
"241","MW153130",2020-10-22,"Australia",NA,"2020-07-28"
"242","MW153131",2020-10-22,"Australia",NA,"2020-07-29"
"243","MW153132",2020-10-22,"Australia",NA,"2020-07-28"
"244","MW153133",2020-10-22,"Australia",NA,"2020-07-28"
"245","MW153134",2020-10-22,"Australia",NA,"2020-07-27"
"246","MW153135",2020-10-22,"Australia",NA,"2020-07-24"
"247","MW153136",2020-10-22,"Australia",NA,"2020-07-24"
"248","MW153137",2020-10-22,"Australia",NA,"2020-07-24"
"249","MW153138",2020-10-22,"Australia",NA,"2020-07-24"
"250","MW153139",2020-10-22,"Australia",NA,"2020-07-24"
"251","MW153140",2020-10-22,"Australia",NA,"2020-07-24"
"252","MW153142",2020-10-22,"Australia",NA,"2020-08-21"
"253","MW153143",2020-10-22,"Australia",NA,"2020-08-19"
"254","MW153144",2020-10-22,"Australia",NA,"2020-08-19"
"255","MW153145",2020-10-22,"Australia",NA,"2020-08-20"
"256","MW153146",2020-10-22,"Australia",NA,"2020-08-20"
"257","MW153148",2020-10-22,"Australia",NA,"2020-08-24"
"258","MW153149",2020-10-22,"Australia",NA,"2020-08-18"
"259","MW153151",2020-10-22,"Australia",NA,"2020-08-19"
"260","MW153152",2020-10-22,"Australia",NA,"2020-08-24"
"261","MW153153",2020-10-22,"Australia",NA,"2020-08-24"
"262","MW153154",2020-10-22,"Australia",NA,"2020-08-24"
"263","MW153155",2020-10-22,"Australia",NA,"2020-08-19"
"264","MW153156",2020-10-22,"Australia",NA,"2020-07-09"
"265","MW153157",2020-10-22,"Australia",NA,"2020-08-16"
"266","MW153158",2020-10-22,"Australia",NA,"2020-08-18"
"267","MW153159",2020-10-22,"Australia",NA,"2020-08-18"
"268","MW153160",2020-10-22,"Australia",NA,"2020-08-17"
"269","MW153162",2020-10-22,"Australia",NA,"2020-08-18"
"270","MW153163",2020-10-22,"Australia",NA,"2020-08-18"
"271","MW153164",2020-10-22,"Australia",NA,"2020-08-18"
"272","MW153165",2020-10-22,"Australia",NA,"2020-08-18"
"273","MW153166",2020-10-22,"Australia",NA,"2020"
"274","MW153167",2020-10-22,"Australia",NA,"2020"
"275","MW153168",2020-10-22,"Australia",NA,"2020"
"276","MW153169",2020-10-22,"Australia",NA,"2020"
"277","MW153170",2020-10-22,"Australia",NA,"2020"
"278","MW153172",2020-10-22,"Australia",NA,"2020"
"279","MW153173",2020-10-22,"Australia",NA,"2020"
"280","MW153175",2020-10-22,"Australia",NA,"2020-07-09"
"281","MW153176",2020-10-22,"Australia",NA,"2020"
"282","MW153177",2020-10-22,"Australia",NA,"2020"
"283","MW153178",2020-10-22,"Australia",NA,"2020"
"284","MW153181",2020-10-22,"Australia",NA,"2020"
"285","MW153182",2020-10-22,"Australia",NA,"2020"
"286","MW153183",2020-10-22,"Australia",NA,"2020"
"287","MW153184",2020-10-22,"Australia",NA,"2020"
"288","MW153185",2020-10-22,"Australia",NA,"2020-08-15"
"289","MW153187",2020-10-22,"Australia",NA,"2020-08-21"
"290","MW153188",2020-10-22,"Australia",NA,"2020-08-20"
"291","MW153189",2020-10-22,"Australia",NA,"2020-08-21"
"292","MW153190",2020-10-22,"Australia",NA,"2020-08-21"
"293","MW153191",2020-10-22,"Australia",NA,"2020-08-21"
"294","MW153192",2020-10-22,"Australia",NA,"2020-08-16"
"295","MW153193",2020-10-22,"Australia",NA,"2020-08-21"
"296","MW153194",2020-10-22,"Australia",NA,"2020-08-21"
"297","MW153195",2020-10-22,"Australia",NA,"2020-08-23"
"298","MW153196",2020-10-22,"Australia",NA,"2020-08-23"
"299","MW153197",2020-10-22,"Australia",NA,"2020-08-21"
"300","MW153198",2020-10-22,"Australia",NA,"2020-08-17"
"301","MW153199",2020-10-22,"Australia",NA,"2020-08-17"
"302","MW153200",2020-10-22,"Australia",NA,"2020-08-17"
"303","MW153202",2020-10-22,"Australia",NA,"2020-08-20"
"304","MW153203",2020-10-22,"Australia",NA,"2020-08-21"
"305","MW153204",2020-10-22,"Australia",NA,"2020-08-21"
"306","MW153205",2020-10-22,"Australia",NA,"2020-08-20"
"307","MW153206",2020-10-22,"Australia",NA,"2020-08-21"
"308","MW153208",2020-10-22,"Australia",NA,"2020-08-22"
"309","MW153209",2020-10-22,"Australia",NA,"2020-08-23"
"310","MW153210",2020-10-22,"Australia",NA,"2020-08-20"
"311","MW153211",2020-10-22,"Australia",NA,"2020-08-21"
"312","MW153212",2020-10-22,"Australia",NA,"2020-08-20"
"313","MW153213",2020-10-22,"Australia",NA,"2020-08-20"
"314","MW153214",2020-10-22,"Australia",NA,"2020-08-20"
"315","MW153215",2020-10-22,"Australia",NA,"2020-08-20"
